# ACTS Test Suite Generation: Mon Nov 13 18:26:33 PST 2017
#  * represents don't care value 

# Degree of interaction coverage: 5
# Number of parameters: 51
# Maximum number of values per parameter: 10
# Number of configurations: 10926
# Number of extended configurations: 0
# ****************************************************
any,posix,boundary,notBoundary,word_begin,word_end,wordC,notWordC,whitespace,notWhitespace,tab,property,notProperty,nameProperty,digit,notDigit,look_ahead,nlook_ahead,look_behind,nlook_behind,unicodeC,backref,zeroOrOne,zeroOrOne_nested,zeroOrMore,zeroOrMore_nested,oneOrMore,oneOrMore_nested,repeat_n,repeat_n_nested,repeat_nm,repeat_nm_nested,repeat_n_more,repeat_n_more_nested,join,list,nList,range,start,end,-w,-c,-i,-e,-f,-x,-t,-v,-BlockSize,syntax,fileType
false,off,false,false,false,true,true,false,true,true,true,catalog,catalog,false,false,true,true,true,true,true,true,false,false,true,true,false,false,false,small,true,small-small,true,medium,false,true,false,false,true,false,false,false,true,true,true,false,true,off,true,64,-E,m
true,off,true,true,true,true,false,true,true,false,false,catalog,catalog,true,true,true,true,false,false,true,true,false,false,true,false,false,false,false,large,false,small-small,false,medium,false,false,true,false,false,true,false,false,true,false,true,true,true,1,false,off,off,l
true,off,true,false,false,false,true,true,false,true,true,catalog,catalog,true,false,true,false,true,false,false,true,true,true,false,true,true,true,true,large,true,small-small,false,small,false,true,false,false,false,false,false,false,false,false,false,true,true,2,false,256,-P,m
true,off,true,false,false,true,false,true,true,true,false,catalog,catalog,true,true,false,false,true,true,false,false,false,false,false,true,false,true,false,small,false,small-small,false,large,true,false,true,true,false,true,true,false,true,false,false,false,false,3,false,128,-P,l
false,off,false,false,true,false,true,true,true,true,true,catalog,catalog,false,true,false,false,false,false,false,false,true,true,true,false,true,false,true,medium,false,small-small,false,small,true,false,false,false,true,false,false,true,true,true,true,false,true,4,false,512,-G,s
true,off,false,true,false,false,true,false,true,false,false,catalog,numeric,false,false,false,false,false,false,false,false,true,true,false,true,true,true,true,small,true,small-small,false,medium,false,false,true,true,false,false,false,true,true,true,false,true,true,off,true,off,-G,l
false,off,false,true,false,true,true,true,false,true,false,catalog,numeric,true,true,false,true,false,true,true,true,false,true,true,false,true,true,true,small,true,small-small,true,medium,true,true,false,true,true,true,false,false,false,true,true,false,false,1,false,256,-P,s
false,off,true,true,true,true,true,false,true,true,true,catalog,numeric,true,false,true,false,false,true,false,false,false,false,true,false,true,true,false,large,false,small-small,false,large,true,true,true,false,true,false,true,false,true,false,false,true,true,2,true,512,off,m
true,off,false,false,false,false,false,false,true,false,false,catalog,numeric,false,true,true,true,false,false,true,false,false,true,false,true,false,true,true,medium,false,small-small,false,small,true,true,false,false,false,true,false,true,true,false,false,true,false,3,true,256,-E,s
true,off,false,false,true,true,false,false,true,false,false,catalog,numeric,false,true,true,false,false,false,false,true,true,true,true,true,false,false,false,small,true,small-small,true,large,false,false,false,true,false,false,true,true,false,true,false,true,false,4,false,64,-P,m
false,off,false,false,false,false,false,true,false,true,false,numeric,off,true,false,false,true,true,true,false,false,false,false,false,true,true,true,true,medium,true,small-small,true,large,true,true,true,true,false,false,false,true,true,false,true,false,false,off,true,256,-P,m
true,off,true,true,false,false,true,true,true,false,true,numeric,off,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,large,true,small-small,true,small,false,false,true,false,true,true,true,false,true,true,false,true,true,1,false,512,-G,l
false,off,true,false,false,true,true,false,false,false,true,numeric,off,true,true,true,false,false,true,true,true,true,true,false,false,false,true,true,small,false,small-small,false,small,false,false,false,true,true,true,true,true,false,true,true,false,true,2,true,off,-E,m
false,off,false,true,true,true,false,false,true,true,true,numeric,off,true,true,false,false,false,false,false,true,false,false,true,true,false,false,false,small,false,small-small,false,large,false,true,true,false,true,false,false,false,false,false,false,true,false,3,false,128,off,s
false,off,false,false,true,true,true,true,true,false,true,numeric,off,false,false,true,true,true,true,false,false,true,false,true,true,true,true,false,large,false,small-small,false,small,false,true,false,true,false,true,false,false,true,false,true,true,true,4,false,64,-P,s
true,off,false,true,true,true,false,false,false,false,false,numeric,binary,true,false,true,false,true,false,true,false,true,true,true,true,false,false,true,medium,true,small-small,true,small,true,false,false,false,true,true,true,true,false,true,false,false,false,off,true,512,off,m
false,off,true,false,true,false,true,false,false,false,false,numeric,binary,false,true,true,true,true,false,true,true,true,false,false,false,true,true,false,large,true,small-small,true,medium,false,false,false,true,false,false,true,true,false,true,false,true,false,1,true,256,off,s
false,off,true,true,true,true,true,true,true,true,false,numeric,binary,false,false,false,true,false,true,true,true,false,true,true,true,false,true,true,medium,true,small-small,false,medium,true,true,true,false,false,true,false,false,false,true,true,false,false,2,false,128,-G,l
true,off,false,false,true,false,true,true,true,false,true,numeric,binary,true,true,true,false,false,true,true,false,false,false,false,false,false,false,true,large,true,small-small,true,medium,true,true,true,false,true,false,false,true,true,false,false,false,false,3,false,off,-P,m
